,Pais,Tipo,Bodegas,Nombre y año,Región,Rating,Valoraciones,Precio,Año
84,Portugal,Blanco,Taboadella,Reserva Encruzado 2021,Dão ,4.2,475,31.99,2021
85,Portugal,Blanco,Niepoort,Douro Redoma Branco 2021,Douro ,4.2,325,22.4,2021
86,Portugal,Blanco,Casa de Santar,Dão Reserva Branco 2018,Dão ,4.2,148,20.99,2018
87,Portugal,Blanco,Anselmo Mendes,Muros de Melgaço Alvarinho 2021,Monção e Melgaço ,4.2,145,17.95,2021
88,Portugal,Blanco,Niepoort,Douro Tiara Branco 2020,Douro ,4.2,97,19.84,2020
89,Portugal,Blanco,António Saramago,Reserva Branco 2016,Península de Setúbal ,4.2,33,22.99,2016
90,Portugal,Blanco,Filipa Pato,Nossa Calcário Branco 2021,Beiras ,4.2,26,24.2,2021
91,Portugal,Blanco,Anselmo Mendes,Expressoes 2019,Monção e Melgaço ,4.2,25,24.5,2019
92,Portugal,Blanco,Soalheiro,Alvarinho 2021,Monção e Melgaço ,4.1,2456,12.85,2021
93,Portugal,Blanco,Soalheiro,Granit Alvarinho 2021,Monção e Melgaço ,4.1,1400,12.77,2021
94,Portugal,Blanco,Soalheiro,Primeiras Vinhas Alvarinho 2021,Monção e Melgaço ,4.1,465,16.84,2021
95,Portugal,Blanco,Quinta da Alorna,Marquesa de Alorna Grande Reserva Branco 2013,Tejo ,4.1,375,31.99,2013
96,Portugal,Blanco,Soalheiro,Terramatter Alvarinho 2019,Monção e Melgaço ,4.1,355,16.72,2019
97,Portugal,Blanco,Quinta do Crasto,Crasto Superior Branco 2020,Douro ,4.1,288,13.67,2020
98,Portugal,Blanco,Ramos Pinto,Douro Duas Quintas Branco 2021,Douro ,4.1,256,12.3,2021
99,Portugal,Blanco,Dom Ponciano,Alvarinho 2018,Monção e Melgaço ,4.1,99,17.99,2018
100,Portugal,Blanco,Fafide,Reserva Branco 2020,Douro ,4.1,97,16.99,2020
101,Portugal,Blanco,Quinta da Pedra Escrita,Branco 2020,Douro ,4.1,94,20.99,2020
102,Portugal,Blanco,Tiago Teles,COZs de Montexuntos Pop Branco 2020,Lisboa ,4.1,83,14.45,2020
103,Portugal,Blanco,Soalheiro,Alvarinho 2022,Monção e Melgaço ,4.1,68,12.49,2022
104,Portugal,Blanco,Quinta da Sequeira,Branco 2021,Douro ,4.1,60,23.99,2021
105,Portugal,Blanco,Côrte,Branco 2021,Douro ,4.1,48,25.99,2021
106,Portugal,Blanco,Tiago Teles,COZs de Montexuntos Pop Branco 2021,Lisboa ,4.1,35,18.4,2021
107,Portugal,Blanco,Anselmo Mendes,Private Loureiro 2020,Monção e Melgaço ,4.1,35,29.35,2020
108,Portugal,Blanco,Soalheiro,Allo Alvarinho - Loureiro 2021,Monção e Melgaço ,4.0,833,8.75,2021
109,Portugal,Blanco,Quinta do Crasto,Crasto Branco 2019,Douro ,4.0,730,11.3,2019
110,Portugal,Blanco,Marquês de Marialva,Arinto Reserva 2019,Beiras ,4.0,456,16.99,2019
111,Portugal,Blanco,Bacalhôa,Península de Setúbal Quinta da Bacalhôa Branco 2016,Península de Setúbal ,4.0,390,27.99,2016
112,Portugal,Blanco,Quinta do Crasto,Crasto Branco 2020,Douro ,4.0,389,11.3,2020
113,Portugal,Blanco,Taboadella,Villae Branco 2021,Dão ,4.0,314,24.99,2021
114,Portugal,Blanco,Quinta Nova de Nossa Senhora do Carmo,Grainha Reserva Branco 2019,Douro ,4.0,159,27.99,2019
115,Portugal,Blanco,Tresmano - Tr3smano,Lagar de Proventus Alvarinho 2021,Douro ,4.0,80,16.35,2021
116,Portugal,Blanco,Raul A. Riba d'Ave,Cancela Abreu & Riba D'Ave Encruzado Reserva Branco 2018,Dão ,4.0,75,21.99,2018
117,Portugal,Blanco,Aphros,Phaunus Loureiro 2021,Vinho verde ,4.0,72,21.55,2021
118,Portugal,Blanco,Vale do Armo,Vila Jardim Colheita Seleccionada Branco 2020,Ribatejo ,4.0,53,14.99,2020
119,Portugal,Blanco,Quinta da Foz,Vinha da Foz Branco 2020,Douro ,4.0,50,22.99,2020
120,Portugal,Blanco,Quinta da Sequeira,Sauvignon Blanc 2021,Duriense ,4.0,48,20.99,2021
121,Portugal,Blanco,Tresmano - Tr3smano,Lagar de Proventus Alvarinho 2020,Douro ,4.0,47,15.9,2020
122,Portugal,Blanco,Arribas do Douro,Superior Branco 2018,Douro ,4.0,36,16.99,2018
123,Portugal,Blanco,Parceria,Branco 2019,Douro ,4.0,31,22.99,2019
124,Portugal,Blanco,Arribas do Douro,Branco 2018,Douro ,4.0,31,13.99,2018
125,Portugal,Blanco,Esporão,Colheita Branco 2020,Alentejo ,3.9,444,9.7,2020
126,Portugal,Blanco,Cabriz,Dão Reserva Branco 2018,Dão ,3.9,438,17.99,2018
127,Portugal,Blanco,Ramos Pinto,Douro Duas Quintas Branco 2020,Douro ,3.9,376,12.66,2020
128,Portugal,Blanco,Niepoort,Nat Cool Branco 2021,Vinho verde ,3.9,339,12.65,2021
129,Portugal,Blanco,Niepoort,Loureiro Dócil 2020,Vinho verde ,3.9,280,12.25,2020
130,Portugal,Blanco,Quinta da Alorna,Arinto - Chardonnay Reserva 2020,Tejo ,3.9,276,16.99,2020
131,Portugal,Blanco,Monte Branco,Alento Branco 2019,Alentejo ,3.9,242,8.23,2019
132,Portugal,Blanco,Marquês de Marialva,Bical Reserva Branco 2018,Bairrada ,3.9,152,16.99,2018
133,Portugal,Blanco,Quinta de Azevedo,Reserva Alvarinho 2021,Minho ,3.9,148,8.5,2021
