,Pais,Tipo,Bodegas,Nombre y año,Región,Rating,Valoraciones,Precio,Año
84,Portugal,Tinto,Titan of Douro,Vale dos Mil Single Vineyard Tinto 2017,Douro ,4.5,292,35.99,2017
85,Portugal,Tinto,Quinta do Noval,Vintage Port 2003,Porto ,4.5,177,156.35,2003
86,Portugal,Tinto,Quinta do Zambujeiro,Zambujeiro 2017,Borba ,4.5,124,50.99,2017
87,Portugal,Tinto,W. & J. Graham's,30 Year Old Tawny Port N.V.,Porto ,4.5,3429,84.95,N.V.
88,Portugal,Tinto,Vinha das Virtudes,Humanitas Reserva Syrah 2018,Alentejano ,4.5,76,34.99,2018
89,Portugal,Tinto,Quinta da Furada,Pata d'Urso Tinto 2017,Douro ,4.5,75,47.99,2017
90,Portugal,Tinto,Quinta da Sequeira,Grande Reserva Tinto 2017,Douro ,4.5,92,64.99,2017
91,Portugal,Tinto,W. & J. Graham's,20 Year Old Tawny Port N.V.,Porto ,4.4,12331,54.95,N.V.
92,Portugal,Tinto,Ramos Pinto,Quinta do Bom Retiro 20 Year Old Tawny Porto N.V.,Porto ,4.4,2921,71.15,N.V.
93,Portugal,Tinto,Bacalhôa,Península de Setúbal Palácio da Bacalhôa Tinto 2014,Península de Setúbal ,4.4,2004,52.99,2014
94,Portugal,Tinto,Quinta do Crasto,Reserva Vinhas Velhas 2019,Douro ,4.4,951,28.81,2019
95,Portugal,Tinto,W. & J. Graham's,Vintage Port 2000,Porto ,4.4,810,125.61,2000
96,Portugal,Tinto,Anselmo Mendes,Parcela Única Escolha 2018,Monção e Melgaço ,4.4,470,33.9,2018
97,Portugal,Tinto,Quinta do Carmo,Reserva Tinto 2014,Alentejano ,4.4,360,52.99,2014
98,Portugal,Tinto,Esporão,Esporão Private Selection Tinto 2016,Alentejo ,4.4,290,61.8,2016
99,Portugal,Tinto,Quinta do Crasto,Reserva Vinhas Velhas 2020,Douro ,4.4,123,32.15,2020
100,Portugal,Tinto,Quinta do Noval,Vintage Port 2015,Porto ,4.4,105,156.98,2015
101,Portugal,Tinto,Quinta de Santiago,Sou Alvarinho 2018,Monção e Melgaço ,4.4,66,29.9,2018
102,Portugal,Tinto,Textura,Pura 2019,Dão ,4.4,47,32.5,2019
103,Portugal,Tinto,Quinta do Zambujeiro,Terra do Zambujeiro 2017,Borba ,4.3,234,46.99,2017
104,Portugal,Tinto,Fonseca,20 Year Old Tawny Port N.V.,Porto ,4.3,2487,54.52,N.V.
105,Portugal,Tinto,Dow's,20 Years Old Tawny Port N.V.,Porto ,4.3,2007,47.9,N.V.
106,Portugal,Tinto,Quinta do Noval,20 Year Old Tawny Port N.V.,Porto ,4.3,1453,84.91,N.V.
107,Portugal,Tinto,Niepoort,Porto 20 Years Old Tawny N.V.,Porto ,4.3,1148,61.45,N.V.
108,Portugal,Tinto,Niepoort,Douro Batuta Tinto 2016,Douro ,4.3,642,79.98,2016
109,Portugal,Tinto,C. da Silva,Dalva Colheita Porto 1990,Porto ,4.3,310,47.3,1990
110,Portugal,Tinto,Niepoort,Douro Charme Tinto 2017,Douro ,4.3,297,79.98,2017
111,Portugal,Tinto,Niepoort,Douro Batuta Tinto 2017,Douro ,4.3,269,79.82,2017
112,Portugal,Tinto,Taylor's,20 Year Old Tawny Port N.V.,Porto ,4.3,8969,49.35,N.V.
113,Portugal,Tinto,Quinta do Infantado,Tawny Porto 20 Years Old N.V.,Porto ,4.3,193,41.99,N.V.
114,Portugal,Tinto,Fonseca,Vintage Port 2003,Porto ,4.3,174,111.01,2003
115,Portugal,Tinto,Fonseca,Vintage Port 2009,Porto ,4.3,174,98.0,2009
116,Portugal,Tinto,Quinta do Noval,Silval Vintage Port 2003,Porto ,4.3,167,42.3,2003
117,Portugal,Tinto,Marquês de Marialva,Bical - Arinto Reserva Bruto 2017,Bairrada ,4.3,153,18.99,2017
118,Portugal,Tinto,Taboadella,Grande Villae Tinto 2019,Dão ,4.3,120,64.99,2019
119,Portugal,Tinto,Quinta do Crasto,Vintage Port 2017,Porto ,4.3,98,41.93,2017
120,Portugal,Tinto,Casa de Santar,Branco De Curtimenta 2019,Dão ,4.3,90,24.99,2019
121,Portugal,Tinto,Lima Mayer,Reserva 2015,Alentejano ,4.3,79,57.99,2015
122,Portugal,Tinto,Esporão,Esporão Private Selection Branco 2020,Alentejo ,4.3,77,32.95,2020
123,Portugal,Tinto,Rui Roboredo Madeira,Douro Tinto 2017,Douro ,4.3,57,38.99,2017
124,Portugal,Tinto,Niepoort,Douro Charme Tinto 2020,Douro ,4.3,54,75.0,2020
125,Portugal,Tinto,Niepoort,Douro Reserva Redoma Branco 2021,Douro ,4.3,53,41.7,2021
126,Portugal,Tinto,Giroflé,Arquivo Tinto 2017,Douro ,4.3,45,49.99,2017
127,Portugal,Tinto,Já Te Disse,Branco 2020,Alentejo ,4.3,26,40.99,2020
128,Portugal,Tinto,Taboadella,Reserva Encruzado 2021,Dão ,4.2,473,31.99,2021
129,Portugal,Tinto,Esporão,Esporão Reserva Tinto 2019,Alentejo ,4.2,3306,16.73,2019
130,Portugal,Tinto,Esporão,Esporão Reserva Branco 2020,Alentejo ,4.2,2193,14.29,2020
131,Portugal,Tinto,Andresen,10 Year Old White Port N.V.,Porto ,4.2,1934,16.88,N.V.
132,Portugal,Tinto,Quinta Nova de Nossa Senhora do Carmo,Douro Tinto (Colheita Unoaked) 2020,Douro ,4.2,1545,24.99,2020
133,Portugal,Tinto,Casa de Santar,Dão Reserva 2015,Dão ,4.2,1382,34.99,2015
134,Portugal,Tinto,Justino's Madeira,Colheita Madeira N.V.,Madeira ,4.2,1249,44.07,N.V.
135,Portugal,Tinto,Quinta Nova de Nossa Senhora do Carmo,Grainha Reserva 2020,Douro ,4.2,903,29.99,2020
136,Portugal,Tinto,Esporão,Esporão Reserva Branco 2021,Alentejo ,4.2,700,15.3,2021
137,Portugal,Tinto,W. & J. Graham's,10 Year Old Tawny Port N.V.,Porto ,4.2,16231,28.76,N.V.
138,Portugal,Tinto,Quinta Nova de Nossa Senhora do Carmo,Reserva Terroir Blend 2020,Douro ,4.2,422,31.99,2020
139,Portugal,Tinto,Niepoort,Douro Redoma Branco 2021,Douro ,4.2,325,22.4,2021
140,Portugal,Tinto,Quinta do Zambujeiro,Monte do Zambujeiro 2018,Borba ,4.2,294,16.99,2018
141,Portugal,Tinto,José Maria da Fonseca,José de Sousa Mayor Alentejano 2017,Alentejano ,4.2,266,28.8,2017
142,Portugal,Tinto,C. da Silva,Dalva Colheita Porto 2000,Porto ,4.2,213,36.3,2000
143,Portugal,Tinto,Casa de Santar,Dão Reserva Branco 2018,Dão ,4.2,148,20.99,2018
144,Portugal,Tinto,Anselmo Mendes,Muros de Melgaço Alvarinho 2021,Monção e Melgaço ,4.2,145,17.95,2021
145,Portugal,Tinto,Niepoort,Douro Charme Tinto 2019,Douro ,4.2,135,75.0,2019
146,Portugal,Tinto,Antonio Madeira,Vinhas Velhas 2019,Dão ,4.2,127,24.25,2019
147,Portugal,Tinto,Beyra,Grande Reserva 2019,Beira Interior ,4.2,100,30.99,2019
148,Portugal,Tinto,Niepoort,Douro Tiara Branco 2020,Douro ,4.2,97,19.84,2020
149,Portugal,Tinto,Quinta da Foz,Grande Reserva 2017,Douro ,4.2,97,56.99,2017
150,Portugal,Tinto,Cartuxa,Pêra-Manca Tinto 2015,Alentejo ,4.7,969,362.85,2015
151,Portugal,Tinto,Já Te Disse,Alicante Bouschet 2020,Alentejo ,4.7,28,89.99,2020
152,Portugal,Tinto,W. & J. Graham's,40 Year Old Tawny Port N.V.,Porto ,4.6,2259,140.63,N.V.
153,Portugal,Tinto,Quinta do Noval,40 Year Old Tawny Port N.V.,Porto ,4.6,757,140.51,N.V.
154,Portugal,Tinto,Quinta do Noval,Vintage Port 2019,Porto ,4.6,57,170.4,2019
155,Portugal,Tinto,Lima Mayer,Petit Verdot 2015,Alentejano ,4.5,37,79.99,2015
156,Portugal,Tinto,Casa Ferreirinha,Quinta da Leda Douro 2017,Douro ,4.5,1146,42.57,2017
157,Portugal,Tinto,Ramos Pinto,30 Year Old Tawny Port N.V.,Porto ,4.5,1088,94.76,N.V.
158,Portugal,Tinto,Cartuxa,Pêra-Manca Branco 2020,Evora ,4.5,321,63.39,2020
159,Portugal,Tinto,Titan of Douro,Vale dos Mil Single Vineyard Tinto 2017,Douro ,4.5,292,35.99,2017
160,Portugal,Tinto,Quinta do Noval,Vintage Port 2003,Porto ,4.5,177,156.35,2003
161,Portugal,Tinto,Quinta do Zambujeiro,Zambujeiro 2017,Borba ,4.5,124,50.99,2017
162,Portugal,Tinto,W. & J. Graham's,30 Year Old Tawny Port N.V.,Porto ,4.5,3429,84.95,N.V.
163,Portugal,Tinto,Vinha das Virtudes,Humanitas Reserva Syrah 2018,Alentejano ,4.5,76,34.99,2018
164,Portugal,Tinto,Quinta da Furada,Pata d'Urso Tinto 2017,Douro ,4.5,75,47.99,2017
165,Portugal,Tinto,Quinta da Sequeira,Grande Reserva Tinto 2017,Douro ,4.5,92,64.99,2017
166,Portugal,Tinto,W. & J. Graham's,20 Year Old Tawny Port N.V.,Porto ,4.4,12331,54.95,N.V.
167,Portugal,Tinto,Ramos Pinto,Quinta do Bom Retiro 20 Year Old Tawny Porto N.V.,Porto ,4.4,2921,71.15,N.V.
168,Portugal,Tinto,Bacalhôa,Península de Setúbal Palácio da Bacalhôa Tinto 2014,Península de Setúbal ,4.4,2004,52.99,2014
