,Pais,Tipo,Bodegas,Nombre y año,Región,Rating,Valoraciones,Precio,Año
78,Italia,Tinto,Biondi-Santi,Brunello di Montalcino 2015,Brunello di Montalcino ,4.6,829,167.79,2015
79,Italia,Tinto,Ca' del Bosco,Cuvée Annamaria Clementi (Extra Brut) 2011,Franciacorta ,4.6,661,139.0,2011
80,Italia,Tinto,Biserno,Bibbona 2017,Toscana ,4.6,243,161.99,2017
81,Italia,Tinto,Gaja,Conteisa Langhe 2015,Langhe ,4.6,69,311.02,2015
82,Italia,Tinto,Antinori,Tenuta Tignanello 'Solaia' 2019,Toscana ,4.6,60,360.0,2019
83,Italia,Tinto,Gaja,Pieve Santa Restituta Sugarille Brunello di Montalcino 2013,Brunello di Montalcino ,4.5,313,194.39,2013
84,Italia,Tinto,Casanova di Neri,Tenuta Nuova Brunello di Montalcino 2016,Brunello di Montalcino ,4.5,860,117.2,2016
85,Italia,Tinto,La Spinetta,Vürsù Barolo Campè 2007,Barolo ,4.5,491,156.55,2007
86,Italia,Tinto,Fontodi,Flaccianello della Pieve 2018,Colli della Toscana Centrale ,4.5,454,205.76,2018
87,Italia,Tinto,Tenuta Ulisse,Limited Edition 10 Vendemmie N.V.,Montepulciano d'Abruzzo ,4.5,8880,27.3,N.V.
88,Italia,Tinto,Pio Cesare,Ornato Barolo 2017,Barolo ,4.5,181,105.6,2017
89,Italia,Tinto,Gaja,Pieve Santa Restituta Rennina Brunello di Montalcino 2015,Brunello di Montalcino ,4.5,128,194.39,2015
90,Italia,Tinto,Gaja,Barbaresco 2019,Barbaresco ,4.5,119,266.25,2019
91,Italia,Tinto,Elio Altare,Arborina Barolo 2017,Barolo ,4.5,93,180.95,2017
92,Italia,Tinto,Gaja,Gaia & Rey Langhe 2020,Langhe ,4.5,82,304.54,2020
93,Italia,Tinto,Elio Altare,Cerretta Barolo Riserva (Vigna Bricco) 2015,Barolo ,4.5,65,207.1,2015
94,Italia,Tinto,Feudo Montoni,Vrucara Nero d'Avola 2017,Sicilia ,4.5,63,36.55,2017
95,Italia,Tinto,La Valentina,Bellovedere Montepulciano d'Abruzzo (Riserva) 2016,Montepulciano d'Abruzzo ,4.5,53,37.7,2016
96,Italia,Tinto,Guerrieri,Guerriero della Terra 2018,Marche ,4.4,2571,29.99,2018
97,Italia,Tinto,San Marzano,60 Sessantanni Old Vines Primitivo di Manduria 2018,Primitivo di Manduria ,4.4,865,21.99,2018
98,Italia,Tinto,Ornellaia,Le Serre Nuove 2020,Bolgheri ,4.4,779,56.2,2020
99,Italia,Tinto,Tenuta Luce,Luce 2018,Toscana ,4.4,637,108.9,2018
