"Id","img","Bodegas","Nombre y año","Región","Rating","Valoraciones","Precio"
"https://www.vivino.com/ES/es/ja-te-disse-branco/w/9836846?year=2020&price_id=30345309","https://images.vivino.com/thumbs/48f6u9NfSlu9Ifh3NddVug_pb_x300.png","Já Te Disse","Branco 2020","Alentejo, Portugal","4,3","27 valoraciones","40,99"
"https://www.vivino.com/ES/es/esporao-esporao-reserva-branco/w/1138731?year=2020&price_id=27624467","https://images.vivino.com/thumbs/PzQUcFHHTNmmM0qk02b13A_pb_x300.png","Esporão","Esporão Reserva Branco 2020","Alentejo, Portugal","4,2","2195 valoraciones","14,29"
"https://www.vivino.com/ES/es/esporao-esporao-reserva-branco/w/1138731?year=2021&price_id=29148937","https://images.vivino.com/thumbs/EQkiphZPTlSfl4DvgpHGlA_pb_x300.png","Esporão","Esporão Reserva Branco 2021","Alentejo, Portugal","4,2","700 valoraciones","15,30"
"https://www.vivino.com/ES/es/taboadella-reserva-encruzado/w/8519251?year=2021&price_id=31647418","https://images.vivino.com/thumbs/ljshnxzBQxCO4biwBhjBwA_pb_x300.png","Taboadella","Reserva Encruzado 2021","Dão, Portugal","4,2","475 valoraciones","31,99"
"https://www.vivino.com/ES/es/niepoort-douro-redoma-branco/w/9001?year=2021&price_id=30856298","https://images.vivino.com/thumbs/qSAfjOinQ2SWoemIPTXSsg_pb_x300.png","Niepoort","Douro Redoma Branco 2021","Douro, Portugal","4,2","325 valoraciones","22,40"
"https://www.vivino.com/ES/es/casa-de-santar-dao-reserva-branco/w/1167128?year=2018&price_id=31606155","https://images.vivino.com/thumbs/4B_4XW04RlOdcnZX8BsTbg_pb_x300.png","Casa de Santar","Dão Reserva Branco 2018","Dão, Portugal","4,2","148 valoraciones","20,99"
"https://www.vivino.com/ES/es/pt-anselmo-mendes-muros-de-melgaco-alvarinho/w/1216556?year=2021&price_id=29284498","https://images.vivino.com/thumbs/IzbJa1J9Q8itsmk0UXS26A_pb_x300.png","Anselmo Mendes","Muros de Melgaço Alvarinho 2021","Monção e Melgaço, Portugal","4,2","145 valoraciones","17,95"
"https://www.vivino.com/ES/es/niepoort-douro-tiara-branco/w/9000?year=2020&price_id=29339093","https://images.vivino.com/thumbs/ihJ-GpMSQQaejtMhVzhTaA_pb_x300.png","Niepoort","Douro Tiara Branco 2020","Douro, Portugal","4,2","97 valoraciones","19,84"
"https://www.vivino.com/ES/es/ilogico-reserva-branco/w/5138538?year=2016&price_id=31604946","https://images.vivino.com/thumbs/4RrPpciSTqqbm5UggzxuSA_pb_x300.png","António Saramago","Reserva Branco 2016","Península de Setúbal, Portugal","4,2","33 valoraciones","22,99"
"https://www.vivino.com/ES/es/filipa-pato-nossa-calcario-branco/w/1270336?year=2021&price_id=31115700","https://images.vivino.com/thumbs/-2m6oPqFR4Sxb8dsXSy16w_pb_x300.png","Filipa Pato","Nossa Calcário Branco 2021","Beiras, Portugal","4,2","26 valoraciones","24,20"
