"Id","Imagen","Bodegas","Nombre y año","Región","Rating","Valoraciones","Precio"
"https://www.vivino.com/ES/es/vie-di-romans-vineyards-dessimis-pinot-grigio/w/1084875?year=2017&price_id=27727128","https://images.vivino.com/thumbs/c0GvjTHITb-ouPSlKUpczA_pb_x300.png","Vie di Romans","Dessimis Pinot Grigio 2017","Friuli Isonzo, Italia","4,2","871 valoraciones","41,75"
"https://www.vivino.com/ES/es/la-stoppa-ageno/w/1181970?year=2016&price_id=27473097","https://images.vivino.com/thumbs/1B8senUsT8-iNbIZ8IQQRg_pb_x300.png","La Stoppa","Ageno 2016","Emilia, Italia","4,2","794 valoraciones","32,74"
"https://www.vivino.com/ES/es/planeta-chardonnay/w/4987?year=2021&price_id=31858953","https://images.vivino.com/thumbs/eNm6-aQKQCiLZvnq7Nwpxg_pb_x300.png","Planeta","Chardonnay 2021","Menfi, Italia","4,2","581 valoraciones","22,90"
"https://www.vivino.com/ES/es/quintodecimo-via-del-campo-falanghina/w/1611385?year=2018&price_id=27727132","https://images.vivino.com/thumbs/NY9nK_maQECbb89nlFovBg_pb_x300.png","Quintodecimo","Via del Campo Falanghina 2018","Irpinia, Italia","4,2","309 valoraciones","47,86"
"https://www.vivino.com/ES/es/livio-felluga-colli-orientali-del-friuli-pinot-grigio/w/15098?year=2021&price_id=30088905","https://images.vivino.com/thumbs/fuGbg3geRx6ms6Nupd3yrw_pb_x300.png","Livio Felluga","Pinot Grigio 2021","Colli Orientali del Friuli, Italia","4,2","293 valoraciones","24,80"
"https://www.vivino.com/ES/es/benito-ferrara-vigna-cicogna-greco-di-tufo/w/1211988?year=2021&price_id=29717329","https://images.vivino.com/thumbs/IftGR-noSXqoD62DsSLFkA_pb_x300.png","Benito Ferrara","Vigna Cicogna Greco di Tufo 2021","Greco di Tufo, Italia","4,2","259 valoraciones","24,35"
"https://www.vivino.com/ES/es/abbazia-di-novacella-stiftskellerei-neustift-praepositus-kerner/w/1216931?year=2020&price_id=31259518","https://images.vivino.com/thumbs/xl2UBZzJQv2lYWApNxlV3Q_pb_x300.png","Abbazia di Novacella (Stiftskellerei Neustift)","Praepositus Kerner 2020","Südtirol - Alto Adige, Italia","4,2","239 valoraciones","23,45"
"https://www.vivino.com/ES/es/colterenzio-schreckbichl-pfefferer/w/11199?year=2022&price_id=31438947","https://images.vivino.com/thumbs/zufo4lZNQ-6j-RZk2vjnQw_pb_x300.png","Colterenzio (Schreckbichl)","Pfefferer 2022","Südtirol - Alto Adige, Italia","4,2","104 valoraciones","12,35"
"https://www.vivino.com/ES/es/vie-di-romans-vineyards-dolee/w/1084878?year=2017&price_id=27695794","https://images.vivino.com/thumbs/LqscH3wBRSOeE_nsEiXuBw_pb_x300.png","Vie di Romans","Dolée 2017","Friuli Isonzo, Italia","4,2","99 valoraciones","26,76"
"https://www.vivino.com/ES/es/vigneti-massa-derthona-montecitorio/w/1203956?year=2018&price_id=27427978","https://images.vivino.com/thumbs/oZ4Q8PjBRcCR8-JAIZPdmw_pb_x300.png","Vigneti Massa","Derthona Montecitorio 2018","Piamonte, Italia","4,2","89 valoraciones","41"
"https://www.vivino.com/ES/es/frank-cornelissen-munjebel-classico-bianco/w/2576550?year=2020&price_id=30097865","https://images.vivino.com/thumbs/ZJR32-1MTyq81VYYzsM4Mw_pb_x300.png","Frank Cornelissen","MunJebel Classico Bianco 2020","Terre Siciliane, Italia","4,2","77 valoraciones","38,75"
"https://www.vivino.com/ES/es/marina-cvetic-riserva-trebbiano/w/2526510?year=2020&price_id=31278279","https://images.vivino.com/thumbs/JeRwiSgnSoGd5OVYMZ5QiA_pb_x300.png","Marina Cvetić","Riserva Trebbiano 2020","Trebbiano d'Abruzzo, Italia","4,2","58 valoraciones","35,77"
"https://www.vivino.com/ES/es/colterenzio-schreckbichl-lafoa-sauvignon/w/11170?year=2021&price_id=31438949","https://images.vivino.com/thumbs/CuaeRLrUROu_G2y3yoKTzQ_pb_x300.png","Colterenzio (Schreckbichl)","Lafóa Sauvignon 2021","Südtirol - Alto Adige, Italia","4,2","45 valoraciones","29,45"
"https://www.vivino.com/ES/es/damian-princic-sauvignon-collio/w/4135584?year=2020&price_id=32044877","https://images.vivino.com/thumbs/ydz_RzoxRMO7v1kgrwv8kQ_pb_x300.png","Colle Duga","Sauvignon Collio 2020","Collio, Italia","4,2","37 valoraciones","21,30"
"https://www.vivino.com/ES/es/pescaja-solei-terre-alfieri-arneis/w/7290776?year=2022&price_id=30949413","https://images.vivino.com/thumbs/Hkhoq2dLSxm9AkSthl6MwQ_pb_x300.png","Pescaja","Solei Terre Alfieri Arneis 2022","Piamonte, Italia","4,2","29 valoraciones","13,50"
"https://www.vivino.com/ES/es/lispida-terralba/w/1292730?year=2017&price_id=32044875","https://images.vivino.com/thumbs/JVg0mLcETASXHpfNbGboEQ_pb_x300.png","Castello di Lispida","Terralba 2017","Véneto, Italia","4,2","28 valoraciones","27,85"
"https://www.vivino.com/ES/es/scaia-bianco-garganega-chardonnay/w/1526704?year=2021&price_id=28815671","https://images.vivino.com/thumbs/pnPaNLdXSMu4ebUPqkMJmg_pb_x300.png","Scaia","Bianco (Garganega - Chardonnay) 2021","Véneto, Italia","4,1","1257 valoraciones","12"
"https://www.vivino.com/ES/es/planeta-cometa/w/4985?year=2019&price_id=27373194","","Planeta","Cometa 2019","Menfi, Italia","4,1","820 valoraciones","31,90"
"https://www.vivino.com/ES/es/livio-felluga-colli-orientali-del-friuli-sharis/w/15095?year=2021&price_id=29404785","","Livio Felluga","Sharis 2021","delle Venezie, Italia","4,1","771 valoraciones","18,76"
