"anchor_anchor__m8Qi- href","discountSplash__value--CiNm-","wineInfoVintage__truncate--3QAtw","wineInfoVintage__vintage--VvWlU","wineInfoLocation__regionAndCountry--1nEJz","vivinoRating_averageValue__uDdPM","vivinoRating_caption__xL84P","addToCartButton__price--qJdh4","price_strike__mOVjZ"
"https://www.vivino.com/ES/es/olarra-cerro-anon-reserva-rioja/w/76305?year=2018&price_id=31678901","16%","Bodegas Olarra","Cerro Añon Reserva Rioja 2018","Rioja, España","4,1","342 valoraciones","10,90","€13"
"https://www.vivino.com/ES/es/clos-galena-galena-priorat/w/1188186?year=2018&price_id=27329190","16%","Clos Galena","Galena 2018","Priorato, España","4,3","396 valoraciones","18,90","€22,50"
"https://www.vivino.com/ES/es/allegranza-gran-allegranza/w/5495167?year=2020&price_id=26970560","15%","Allegranza","Gran Allegranza 2020","Alicante, España","4,1","264 valoraciones","8,50","€10"
"https://www.vivino.com/ES/es/heraclio-alfaro-finca-estarijo/w/10074396?year=2016&price_id=28977408","14%","Heraclio Alfaro","Finca Estarijo 2016","Rioja, España","4,0","137 valoraciones","12,90","€15"
"https://www.vivino.com/ES/es/pago-de-los-capellanes-o-luar-do-sil-valdeorras-godello-valdeorras-white-wine-v/w/5766980?year=2021&price_id=28750728","13%","Pago de Los Capellanes","O Luar do Sil Valdeorras Godello 2021","Valdeorras, España","4,2","1272 valoraciones","10,90","€12,50"
"https://www.vivino.com/ES/es/olarra-el-rayo-olarra/w/10332186?year=2019&price_id=29802285","13%","Bodegas Olarra","El Rayo Olarra 2019","Rioja, España","4,1","73 valoraciones","13,99","€16"
"https://www.vivino.com/ES/es/tierra-de-cubas-manadero-collecion-de-parcellas-garnacha/w/9861362?year=2018&price_id=27440215","12%","Tierra De Cubas","Manadero Collecion de Parcellas Garnacha 2018","Cariñena, España","3,9","433 valoraciones","7,90","€9"
"https://www.vivino.com/ES/es/de-moya-gloria/w/5220637?year=2019&price_id=26291060","12%","De Moya","Gloria 2019","Valencia, España","3,9","170 valoraciones","7,90","€9"
"https://www.vivino.com/ES/es/tobia-seleccion-de-autor-rioja-red-wine/w/1210710?year=2018&price_id=26555632","12%","Tobia","Selección de Autor 2018","Rioja, España","4,1","639 valoraciones","10,99","€12,50"
"https://www.vivino.com/ES/es/tobia-seleccion-de-autor-rioja-red-wine/w/1210710?year=2019&price_id=31840632","12%","Tobia","Selección de Autor 2019","Rioja, España","4,0","35 valoraciones","10,99","€12,50"
"https://www.vivino.com/ES/es/de-bardos-reserva/w/6773233?year=2018&price_id=28140179","12%","Bodega de Bardos","Reserva 2018","Ribera del Duero, España","4,1","262 valoraciones","15,90","€18"
"https://www.vivino.com/ES/es/dominio-del-bendito-el-primer-paso/w/1165527?year=2021&price_id=31228504","11%","Dominio del Bendito","El Primer Paso 2021","Toro, España","4,1","36 valoraciones","11,99","€13,50"
"https://www.vivino.com/ES/es/marques-de-grinon-caliza-dominio-de-valdepusa/w/1153733?year=2016&price_id=27664137","11%","Marqués de Griñon","Caliza 2016","Dominio de Valdepusa, España","3,8","255 valoraciones","9,78","€10,94"
"https://www.vivino.com/ES/es/legon-ribera-del-duero-premium/w/1190058?year=2019&price_id=30851196","52%","Legón","Ribera del Duero Premium 2019","Ribera del Duero, España","4,1","294 valoraciones","11,99","€25"
"https://www.vivino.com/ES/es/legon-ribera-del-duero-crianza/w/1218601?year=2018&price_id=27288445","45%","Legón","Ribera del Duero Crianza 2018","Ribera del Duero, España","4,0","509 valoraciones","9,99","€18"
"https://www.vivino.com/ES/es/diaz-bayo-diaz-bayo-20-meses-reserva-ribera-del-duero/w/7499354?year=2014&price_id=20234725","40%","Bodegas Diaz Bayo","Díaz Bayo 20 Meses Reserva 2014","Ribera del Duero, España","4,1","464 valoraciones","14,90","€25"
"https://www.vivino.com/ES/es/bodegas-lleiroso-ll-reserva/w/1158307?year=2016&price_id=30470770","34%","Bodegas Lleiroso","LL Reserva 2016","Ribera del Duero, España","3,8","48 valoraciones","15,90","€24"
"https://www.vivino.com/ES/es/bodegas-vilano-crianza/w/1516813?year=2020&price_id=31633548","34%","Bodegas Vilano","Crianza 2020","Ribera del Duero, España","4,2","54 valoraciones","9,95","€15"
"https://www.vivino.com/ES/es/lopez-alonso-potente/w/6741610?year=2019&price_id=30368713","34%","López-Alonso","Potente 2019","Montsant, España","4,0","56 valoraciones","9,95","€15"
"https://www.vivino.com/ES/es/la-cepa-alta-cinco-elementos/w/6543583?year=2021&price_id=31601119","33%","La Cepa Alta","Cinco Elementos 2021","Ribera del Duero, España","4,3","25 valoraciones","9,99","€15"
